Precio;Cta. Km
14636;37388
14122;44758
14016;45833
15590;30862
15568;31705
14718;34010
14470;45854
15690;19057
15072;40149
14802;40237
15190;32359
14660;43533
15612;32744
15610;34470
14634;37720
14632;41350
15740;24469
15008;35781
14666;48613
15410;24188
14300;38775
14498;45563
15550;28676
14654;38231
14384;36683
15088;32517
14108;39050
14230;45251
14820;34384
15058;38383
15014;32161
15746;26561
14606;33533
14474;41849
14766;36668
14572;37495
15654;25629
14966;40099
14880;31014
14430;42233
14210;37407
15370;34356
15576;30599
14416;42485
14336;38430
14256;40452
15500;26030
13930;46296
14476;34844
15526;27379
14324;47875
14972;35648
14514;42501
14456;43803
14270;43481
14534;34279
14580;41370
14774;34966
14182;41427
15334;30241
14292;47228
15530;24464
15822;21221
15064;35521
14998;28006
14408;38079
14542;42332
14014;49223
14674;33358
14132;37819
15210;35975
15274;38085
14572;35236
15640;20962
14374;45808
14870;36183
14998;34399
13574;44330
15414;32063
14914;34641
14730;31049
14320;38636
15102;36468
15136;25745
14244;39198
15708;21535
14594;37135
14296;42581
14832;33023
15466;31644
14956;35969
15380;29051
14572;38180
15490;31494
15050;31372
14848;36238
14566;34212
14518;33190
14712;39196
14266;36392
